Direction,tCount,Time,StartRotation,HeadRotation,HeadYaw,HeadPitch,TrunkRotation,TrunkYaw,TrunkPitch
Down,1,2.856983,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68505* -0.17279* -0.17246* 0.68637),0,0,(0.54115* -0.51179* 0.49205* -0.45068),0,0
Down,1,2.900088,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68504* -0.17285* -0.17251* 0.68636),-1.407316E-06,0,(0.53505* -0.51412* 0.49473* -0.45238),-0.5292664,0.4688263
Down,1,2.931382,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68511* -0.17277* -0.17247* 0.68631),-0.004713656,-0.00881958,(0.53470* -0.51432* 0.49467* -0.45263),-0.538269,0.5191402
Down,1,2.958448,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68511* -0.17277* -0.17247* 0.68631),-0.004713656,-0.00881958,(0.53453* -0.51450* 0.49459* -0.45272),-0.5480347,0.5494728
Down,1,2.982834,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68520* -0.17264* -0.17237* 0.68628),-0.009429932,-0.01763916,(0.53435* -0.51459* 0.49460* -0.45280),-0.5582275,0.5698452
Down,1,3.012381,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68507* -0.17273* -0.17240* 0.68639),2.599554E-07,0,(0.53431* -0.51464* 0.49465* -0.45275),-0.5692444,0.5702057
Down,1,3.040274,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68525* -0.17268* -0.17244* 0.68621),-0.01412964,-0.02645874,(0.53431* -0.51472* 0.49465* -0.45266),-0.5802307,0.57057
Down,1,3.06837,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68514* -0.17288* -0.17260* 0.68622),-0.009429932,-0.01763916,(0.53440* -0.51463* 0.49456* -0.45276),-0.5582275,0.5698433
Down,1,3.097486,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68501* -0.17297* -0.17263* 0.68633),3.81784E-07,0,(0.53448* -0.51455* 0.49447* -0.45285),-0.5362549,0.5691166
Down,1,3.125454,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68508* -0.17289* -0.17259* 0.68628),-0.004712638,-0.00881958,(0.53920* -0.51292* 0.49190* -0.45190),-0.07617188,0.2629833
Down,1,3.153339,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68516* -0.17282* -0.17254* 0.68624),-0.009429932,-0.01763916,(0.53732* -0.51362* 0.49271* -0.45246),-0.2347717,0.40872
Down,1,3.181524,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68523* -0.17274* -0.17250* 0.68619),-0.01412964,-0.02645874,(0.54084* -0.51229* 0.49089* -0.45175),0.1062012,0.1661758
Down,1,3.208896,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68523* -0.17274* -0.17250* 0.68619),-0.01412964,-0.02645874,(0.54105* -0.51224* 0.49067* -0.45180),0.1390686,0.164938
Down,1,3.237084,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68531* -0.17267* -0.17246* 0.68615),-0.01882935,-0.03527832,(0.54095* -0.51242* 0.49050* -0.45189),0.1404419,0.194912
Down,1,3.264903,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68523* -0.17274* -0.17250* 0.68619),-0.01412964,-0.02645874,(0.54092* -0.51229* 0.49080* -0.45175),0.117157,0.1657639
Down,1,3.292794,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68514* -0.17288* -0.17260* 0.68622),-0.009429932,-0.01763916,(0.54019* -0.51297* 0.49072* -0.45194),0.05584717,0.2681217
Down,1,3.321413,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68508* -0.17289* -0.17259* 0.68628),-0.004712638,-0.00881958,(0.54051* -0.51238* 0.49134* -0.45155),0.03997803,0.1586189
Down,1,3.348644,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68507* -0.17295* -0.17265* 0.68627),-0.004713306,-0.00881958,(0.53684* -0.51344* 0.49376* -0.45209),-0.3470764,0.3525848
Down,1,3.376499,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68543* -0.17297* -0.17155* 0.68617),0.07475709,-0.06695557,(0.53493* -0.51391* 0.49495* -0.45251),-0.5296631,0.4588394
Down,1,3.404329,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68506* -0.17301* -0.17139* 0.68658),0.1052949,-0.008972168,(0.53690* -0.51278* 0.49457* -0.45187),-0.3731689,0.2534733
Down,1,3.431861,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68462* -0.17304* -0.17148* 0.68699),0.1173044,0.059021,(0.53610* -0.51286* 0.49526* -0.45198),-0.460083,0.2764492
Down,1,3.459699,(0.67084* 0.16809* 0.17492* -0.70080),(-0.68378* -0.17308* -0.17132* 0.68785),0.1667858,0.1890869,(0.54096* -0.51097* 0.49314* -0.45064),-0.03723145,-0.09869957
Down,1,3.487617,(0.67084* 0.16809* 0.17492* -0.70080),(0.68262* 0.17314* 0.17174* -0.68888),0.1810791,0.367981,(0.53647* -0.51256* 0.49566* -0.45145),-0.4856873,0.187273
Down,1,3.515346,(0.67084* 0.16809* 0.17492* -0.70080),(0.68196* 0.17338* 0.17245* -0.68930),0.1647926,0.4625549,(0.53657* -0.51211* 0.49633* -0.45110),-0.5221863,0.0984478
Down,1,3.543366,(0.67084* 0.16809* 0.17492* -0.70080),(0.68116* 0.17352* 0.17172* -0.69024),0.267089,0.5819092,(0.54382* -0.50870* 0.49371* -0.44915),0.1078186,-0.5244179
Down,1,3.573932,(0.67084* 0.16809* 0.17492* -0.70080),(0.68003* 0.17357* 0.17082* -0.69156),0.3899988,0.7554016,(0.54541* -0.50751* 0.49389* -0.44837),0.1958313,-0.7479763
Down,1,3.599046,(0.67084* 0.16809* 0.17492* -0.70080),(0.67754* 0.17444* 0.17077* -0.69379),0.5542574,1.109436,(0.54562* -0.50728* 0.49392* -0.44834),0.216217,-0.7787952
Down,1,3.626161,(0.67084* 0.16809* 0.17492* -0.70080),(0.67475* 0.17508* 0.17059* -0.69638),0.7233244,1.516602,(0.54637* -0.50631* 0.49459* -0.44779),0.2301636,-0.9494534
Down,1,3.654422,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67129* -0.17641* -0.16887* 0.69981),1.097928,1.998474,(0.54659* -0.50589* 0.49505* -0.44748),0.2156067,-1.028954
Down,1,3.682417,(0.67084* 0.16809* 0.17492* -0.70080),(-0.66569* -0.17835* -0.16806* 0.70484),1.518726,2.782745,(0.54018* -0.50771* 0.49916* -0.44864),-0.4224854,-0.6752892
Down,1,3.709721,(0.67084* 0.16809* 0.17492* -0.70080),(-0.65952* -0.18077* -0.16651* 0.71037),2.056128,3.628143,(0.53909* -0.50869* 0.49869* -0.44936),-0.4582825,-0.483942
Down,1,3.737669,(0.67084* 0.16809* 0.17492* -0.70080),(-0.65171* -0.18281* -0.16514* 0.71735),2.609383,4.728119,(0.53896* -0.50934* 0.49735* -0.45027),-0.3530579,-0.317524
Down,1,3.765903,(0.67084* 0.16809* 0.17492* -0.70080),(-0.64351* -0.18468* -0.16233* 0.72487),3.286422,5.873932,(0.53911* -0.50944* 0.49675* -0.45064),-0.2854309,-0.2698689
Down,1,3.799441,(0.67084* 0.16809* 0.17492* -0.70080),(-0.63715* -0.18687* -0.16211* 0.72996),3.691147,6.736298,(0.53899* -0.51008* 0.49565* -0.45126),-0.2139282,-0.1323071
Down,1,3.820877,(0.67084* 0.16809* 0.17492* -0.70080),(-0.63067* -0.18831* -0.16105* 0.73543),4.118328,7.631775,(0.53897* -0.51036* 0.49514* -0.45153),-0.1785583,-0.07354546
Down,1,3.848623,(0.67084* 0.16809* 0.17492* -0.70080),(0.62404* 0.18965* 0.16066* -0.74080),4.483659,8.548615,(0.53905* -0.51061* 0.49488* -0.45144),-0.1777039,-0.05356598
Down,1,3.877133,(0.67084* 0.16809* 0.17492* -0.70080),(0.61774* 0.19082* 0.16019* -0.74587),4.830818,9.417603,(0.54108* -0.51034* 0.49336* -0.45098),0.01568604,-0.1406765
Down,1,3.9051,(0.67084* 0.16809* 0.17492* -0.70080),(0.61111* 0.19183* 0.16092* -0.75090),5.06877,10.34018,(0.54443* -0.50958* 0.49074* -0.45067),0.3925781,-0.2752419
Down,1,3.932411,(0.67084* 0.16809* 0.17492* -0.70080),(0.60304* 0.19057* 0.15964* -0.75799),5.39046,11.53018,(0.54322* -0.51061* 0.49048* -0.45124),0.324585,-0.09241867
Down,1,3.960593,(0.67084* 0.16809* 0.17492* -0.70080),(0.59866* 0.19186* 0.15908* -0.76124),5.68248,12.10193,(0.53834* -0.51306* 0.49231* -0.45233),-0.128418,0.3248978
Down,1,3.987363,(0.67084* 0.16809* 0.17492* -0.70080),(0.59079* 0.19370* 0.15763* -0.76720),6.216283,13.13657,(0.53728* -0.51425* 0.49160* -0.45299),-0.163269,0.5362644
Down,1,4.015798,(0.67084* 0.16809* 0.17492* -0.70080),(0.58528* 0.19734* 0.15422* -0.77118),6.965791,13.754,(0.53945* -0.51375* 0.48967* -0.45308),0.1202087,0.4758644
Down,1,4.043491,(0.67084* 0.16809* 0.17492* -0.70080),(0.58203* 0.20068* 0.15112* -0.77339),7.586689,14.06537,(0.53747* -0.51498* 0.48989* -0.45380),-0.02386475,0.7013645
Down,1,4.070781,(0.67084* 0.16809* 0.17492* -0.70080),(-0.57641* -0.20405* -0.14698* 0.77750),8.392939,14.68842,(0.53859* -0.51516* 0.48768* -0.45464),0.234314,0.8017883
Down,1,4.099008,(0.67084* 0.16809* 0.17492* -0.70080),(-0.57427* -0.20761* -0.14310* 0.77887),9.061504,14.82114,(0.53862* -0.51572* 0.48639* -0.45535),0.3400269,0.9378548
Down,1,4.126456,(0.67084* 0.16809* 0.17492* -0.70080),(-0.56839* -0.21127* -0.13932* 0.78287),9.863687,15.4614,(0.53803* -0.51667* 0.48498* -0.45648),0.4282227,1.164635
Down,1,4.154527,(0.67084* 0.16809* 0.17492* -0.70080),(-0.56543* -0.21444* -0.13696* 0.78457),10.39395,15.73135,(0.53700* -0.51791* 0.48406* -0.45726),0.4171143,1.395252
Down,1,4.181991,(0.67084* 0.16809* 0.17492* -0.70080),(-0.56291* -0.21675* -0.13549* 0.78600),10.7704,15.97809,(0.53588* -0.51931* 0.48250* -0.45862),0.4763794,1.70322
Down,1,4.209406,(0.67084* 0.16809* 0.17492* -0.70080),(-0.55808* -0.21743* -0.13217* 0.78981),11.30798,16.56543,(0.53155* -0.52226* 0.48269* -0.46013),0.1556396,2.225842
Down,1,4.237915,(0.67084* 0.16809* 0.17492* -0.70080),(-0.55539* -0.21858* -0.13271* 0.79130),11.426,16.90002,(0.53037* -0.52362* 0.48172* -0.46095),0.133606,2.476845
Down,1,4.265514,(0.67084* 0.16809* 0.17492* -0.70080),(-0.55299* -0.21688* -0.13187* 0.79358),11.49295,17.26801,(0.53225* -0.52336* 0.47937* -0.46152),0.4589844,2.494617
Down,1,4.29344,(0.67084* 0.16809* 0.17492* -0.70080),(-0.54505* -0.21850* -0.13199* 0.79860),11.87688,18.28485,(0.53006* -0.52493* 0.47907* -0.46258),0.3391113,2.799442
Down,1,4.32142,(0.67084* 0.16809* 0.17492* -0.70080),(-0.54418* -0.21984* -0.13403* 0.79848),11.79014,18.38812,(0.53141* -0.52447* 0.47821* -0.46244),0.4925232,2.723505
Down,1,4.349193,(0.67084* 0.16809* 0.17492* -0.70080),(-0.54076* -0.21740* -0.13482* 0.80134),11.69327,18.93658,(0.53057* -0.52639* 0.47704* -0.46243),0.414032,2.95672
Down,1,4.376657,(0.67084* 0.16809* 0.17492* -0.70080),(-0.53427* -0.21745* -0.13710* 0.80528),11.71111,19.8327,(0.53195* -0.52714* 0.47642* -0.46063),0.3643799,2.85853
Down,1,4.404436,(0.67084* 0.16809* 0.17492* -0.70080),(-0.53162* -0.21688* -0.13842* 0.80696),11.64298,20.22177,(0.52507* -0.53104* 0.47973* -0.46059),-0.491272,3.358547
Down,1,4.431872,(0.67084* 0.16809* 0.17492* -0.70080),(-0.52579* -0.21852* -0.13813* 0.81038),11.98521,20.93585,(0.51877* -0.53420* 0.48104* -0.46272),-0.987793,3.983303
Down,1,4.460155,(0.67084* 0.16809* 0.17492* -0.70080),(-0.52139* -0.22035* -0.13645* 0.81301),12.42539,21.4325,(0.52219* -0.52998* 0.47715* -0.46773),0.08889771,3.969433
Down,1,4.487763,(0.67084* 0.16809* 0.17492* -0.70080),(-0.51790* -0.22189* -0.13586* 0.81491),12.70691,21.83273,(0.52163* -0.53021* 0.47418* -0.47110),0.4929504,4.344931
Down,1,4.515675,(0.67084* 0.16809* 0.17492* -0.70080),(-0.51271* -0.22455* -0.13502* 0.81760),13.14147,22.41498,(0.51915* -0.53182* 0.47479* -0.47141),0.2309875,4.584801
Down,1,4.54369,(0.67084* 0.16809* 0.17492* -0.70080),(-0.51015* -0.22599* -0.13460* 0.81888),13.36405,22.69748,(0.51995* -0.53243* 0.47410* -0.47054),0.230072,4.564833
Down,1,4.57093,(0.67084* 0.16809* 0.17492* -0.70080),(-0.50648* -0.22823* -0.13265* 0.82085),13.8317,23.07312,(0.51811* -0.53380* 0.47372* -0.47139),0.1280823,4.828638
Down,1,4.599138,(0.67084* 0.16809* 0.17492* -0.70080),(-0.50169* -0.22925* -0.13206* 0.82360),14.13287,23.6521,(0.51647* -0.53530* 0.47302* -0.47219),0.04891968,5.101549
Down,1,4.626933,(0.67084* 0.16809* 0.17492* -0.70080),(-0.49993* -0.23046* -0.13254* 0.82425),14.21853,23.84985,(0.51737* -0.53687* 0.47194* -0.47050),-0.03076172,5.114294
Down,1,4.656818,(0.67084* 0.16809* 0.17492* -0.70080),(-0.49719* -0.23039* -0.13150* 0.82609),14.42798,24.18802,(0.51617* -0.53810* 0.47131* -0.47104),-0.09030151,5.326382
Down,1,4.683131,(0.67084* 0.16809* 0.17492* -0.70080),(-0.49489* -0.23092* -0.13166* 0.82730),14.52857,24.47165,(0.51571* -0.53845* 0.47108* -0.47137),-0.0982666,5.406715
Down,1,4.709792,(0.67084* 0.16809* 0.17492* -0.70080),(-0.49419* -0.22909* -0.13157* 0.82824),14.46175,24.61591,(0.51493* -0.53905* 0.47055* -0.47208),-0.09173584,5.556562
Down,2,7.378482,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67253* -0.18626* -0.17470* 0.69462),0,0,(0.52255* -0.53118* 0.47730* -0.46581),0,0
Down,2,7.405878,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67291* -0.18636* -0.17520* 0.69409),-0.04825366,-0.0640564,(0.52265* -0.53099* 0.47756* -0.46564),-0.01306152,-0.03957748
Down,2,7.434042,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67276* -0.18612* -0.17460* 0.69445),-0.009420156,-0.03158569,(0.52310* -0.53063* 0.47770* -0.46540),0.006530762,-0.1102543
Down,2,7.466886,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67292* -0.18641* -0.17467* 0.69420),0.0002405643,-0.06695557,(0.52360* -0.53014* 0.47806* -0.46503),0.01345825,-0.2105675
Down,2,7.489179,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67284* -0.18670* -0.17462* 0.69422),0.02852952,-0.06573486,(0.52370* -0.53004* 0.47814* -0.46495),0.01257324,-0.2305145
Down,2,7.517119,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67254* -0.18676* -0.17431* 0.69456),0.06949949,-0.0218811,(0.52330* -0.52986* 0.47894* -0.46478),-0.06817627,-0.2678185
Down,2,7.544672,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67304* -0.18692* -0.17440* 0.69402),0.0549159,-0.1043701,(0.52284* -0.52990* 0.47944* -0.46473),-0.1359253,-0.265564
Down,2,7.572523,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67189* -0.18724* -0.17466* 0.69497),0.09822381,0.06015015,(0.52299* -0.52968* 0.47974* -0.46452),-0.149353,-0.3151646
Down,2,7.60071,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67046* -0.18738* -0.17404* 0.69648),0.2136149,0.2779236,(0.52344* -0.52931* 0.47997* -0.46418),-0.1414185,-0.3954334
Down,2,7.628287,(0.67084* 0.16809* 0.17492* -0.70080),(-0.66864* -0.18813* -0.17386* 0.69807),0.3487524,0.5296631,(0.52345* -0.52922* 0.48014* -0.46410),-0.1535339,-0.4150352
Down,2,7.656505,(0.67084* 0.16809* 0.17492* -0.70080),(-0.66558* -0.18910* -0.17298* 0.70095),0.6048607,0.9645996,(0.52350* -0.52909* 0.48027* -0.46406),-0.1543884,-0.435051
Down,2,7.684396,(0.67084* 0.16809* 0.17492* -0.70080),(-0.66181* -0.18983* -0.17266* 0.70438),0.8203163,1.513824,(0.52381* -0.52911* 0.48021* -0.46375),-0.1556396,-0.4650059
Down,2,7.7117,(0.67084* 0.16809* 0.17492* -0.70080),(-0.65540* -0.19200* -0.17217* 0.70989),1.245685,2.409332,(0.52375* -0.52925* 0.48008* -0.46379),-0.1548157,-0.4450073
Down,2,7.739635,(0.67084* 0.16809* 0.17492* -0.70080),(-0.64884* -0.19418* -0.17007* 0.71581),1.813022,3.316895,(0.52394* -0.52906* 0.48033* -0.46353),-0.1681824,-0.494606
Down,2,7.767517,(0.67084* 0.16809* 0.17492* -0.70080),(-0.64139* -0.19544* -0.16897* 0.72240),2.259147,4.382935,(0.52345* -0.52963* 0.48006* -0.46372),-0.1982422,-0.4035873
Down,2,7.795105,(0.67084* 0.16809* 0.17492* -0.70080),(-0.63317* -0.19692* -0.16734* 0.72960),2.791236,5.544861,(0.52354* -0.52962* 0.48014* -0.46355),-0.2103271,-0.4231625
Down,2,7.822806,(0.67084* 0.16809* 0.17492* -0.70080),(-0.62661* -0.19819* -0.16667* 0.73505),3.165029,6.460999,(0.52327* -0.52981* 0.48007* -0.46372),-0.2199402,-0.382843
Down,2,7.85027,(0.67084* 0.16809* 0.17492* -0.70080),(-0.61949* -0.19949* -0.16591* 0.74089),3.567071,7.451385,(0.52279* -0.53044* 0.47940* -0.46421),-0.2032471,-0.2533131
Down,2,7.878359,(0.67084* 0.16809* 0.17492* -0.70080),(-0.61112* -0.20123* -0.16438* 0.74768),4.108365,8.593536,(0.52263* -0.53044* 0.47958* -0.46421),-0.2258301,-0.2525768
Down,2,7.906706,(0.67084* 0.16809* 0.17492* -0.70080),(0.60285* 0.20246* 0.16406* -0.75410),4.501933,9.733917,(0.52206* -0.53124* 0.47893* -0.46461),-0.2313232,-0.1123848
Down,2,7.933934,(0.67084* 0.16809* 0.17492* -0.70080),(0.59470* 0.20453* 0.16248* -0.76033),5.060945,10.81091,(0.52215* -0.53140* 0.47883* -0.46443),-0.2426453,-0.1120129
Down,2,7.96175,(0.67084* 0.16809* 0.17492* -0.70080),(0.58690* 0.20639* 0.16206* -0.76596),5.486075,11.84442,(0.52201* -0.53146* 0.47871* -0.46465),-0.2301025,-0.08241463
Down,2,7.989327,(0.67084* 0.16809* 0.17492* -0.70080),(0.57921* 0.20742* 0.16042* -0.77185),5.966919,12.87265,(0.52179* -0.53118* 0.47885* -0.46506),-0.2070618,-0.07312202
Down,2,8.022005,(0.67084* 0.16809* 0.17492* -0.70080),(0.57245* 0.20945* 0.15802* -0.77682),6.55443,13.724,(0.52096* -0.53248* 0.47821* -0.46516),-0.2792969,0.09925079
Down,2,8.045207,(0.67084* 0.16809* 0.17492* -0.70080),(0.56463* 0.21190* 0.15642* -0.78219),7.129139,14.70651,(0.51961* -0.53348* 0.47850* -0.46524),-0.4327698,0.2340755
Down,2,8.073868,(0.67084* 0.16809* 0.17492* -0.70080),(0.55835* 0.21496* 0.15380* -0.78638),7.789356,15.44055,(0.51773* -0.53489* 0.47908* -0.46512),-0.6764221,0.4013386
Down,2,8.10136,(0.67084* 0.16809* 0.17492* -0.70080),(-0.55281* -0.21694* -0.15159* 0.79016),8.317657,16.10651,(0.51958* -0.53318* 0.47725* -0.46689),-0.2114258,0.3671875
Down,2,8.128291,(0.67084* 0.16809* 0.17492* -0.70080),(-0.54587* -0.21972* -0.15034* 0.79445),8.850922,16.94199,(0.51906* -0.53555* 0.47590* -0.46614),-0.3392944,0.581295
Down,2,8.156007,(0.67084* 0.16809* 0.17492* -0.70080),(-0.53963* -0.22140* -0.14774* 0.79872),9.426926,17.69742,(0.51826* -0.53696* 0.47530* -0.46601),-0.4354248,0.7442722
Down,2,8.183576,(0.67084* 0.16809* 0.17492* -0.70080),(-0.53397* -0.22318* -0.14591* 0.80236),9.914906,18.37494,(0.51725* -0.53786* 0.47475* -0.46667),-0.4625854,0.9251499
Down,2,8.211188,(0.67084* 0.16809* 0.17492* -0.70080),(-0.52732* -0.22446* -0.14424* 0.80669),10.39423,19.19696,(0.51682* -0.53626* 0.47475* -0.46897),-0.2321472,0.9680405
Down,2,8.238897,(0.67084* 0.16809* 0.17492* -0.70080),(-0.52260* -0.22648* -0.14376* 0.80928),10.73141,19.75137,(0.51611* -0.53783* 0.47415* -0.46857),-0.3518066,1.121828
Down,2,8.266673,(0.67084* 0.16809* 0.17492* -0.70080),(-0.51630* -0.22600* -0.14306* 0.81357),11.0002,20.58719,(0.51719* -0.53945* 0.47233* -0.46735),-0.3375244,1.191401
Down,2,8.294676,(0.67084* 0.16809* 0.17492* -0.70080),(0.51019* 0.22389* 0.14248* -0.81810),11.15769,21.44714,(0.51481* -0.54187* 0.47308* -0.46642),-0.7424622,1.403229
Down,2,8.322144,(0.67084* 0.16809* 0.17492* -0.70080),(0.50200* 0.22176* 0.14396* -0.82346),11.1794,22.60135,(0.51097* -0.54492* 0.47421* -0.46594),-1.271606,1.746578
Down,2,8.349497,(0.67084* 0.16809* 0.17492* -0.70080),(0.49536* 0.21641* 0.14151* -0.82931),11.37779,23.59174,(0.51465* -0.54019* 0.47141* -0.47022),-0.2639465,1.589283
Down,2,8.377927,(0.67084* 0.16809* 0.17492* -0.70080),(0.49103* 0.21796* 0.14456* -0.83095),11.3039,24.14624,(0.50997* -0.54037* 0.47159* -0.47490),-0.242218,2.118776
Down,2,8.405689,(0.67084* 0.16809* 0.17492* -0.70080),(0.48613* 0.21816* 0.14537* -0.83364),11.41069,24.78137,(0.50835* -0.54110* 0.47131* -0.47609),-0.27948,2.339962
Down,3,10.73985,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67906* -0.18486* -0.17136* 0.68945),0,0,(0.52175* -0.53162* 0.47972* -0.46371),0,0
Down,3,10.76758,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67902* -0.18499* -0.17099* 0.68955),0.04285741,0.002075195,(0.52218* -0.53153* 0.47935* -0.46371),0.05609131,-0.01178741
Down,3,10.80243,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67920* -0.18510* -0.17135* 0.68925),0.01332486,-0.03070068,(0.52217* -0.53154* 0.47926* -0.46380),0.06781006,-0.00213623
Down,3,10.82551,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67893* -0.18512* -0.17145* 0.68949),0.01726425,0.01040649,(0.52212* -0.53159* 0.47922* -0.46384),0.06820679,0.007833481
Down,3,10.86577,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67711* -0.18540* -0.17140* 0.69121),0.1095195,0.2832642,(0.52194* -0.53168* 0.47915* -0.46401),0.06942749,0.03779984
Down,3,10.89278,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67577* -0.18568* -0.17124* 0.69249),0.1929795,0.4821472,(0.52162* -0.53200* 0.47895* -0.46422),0.06054688,0.09809875
Down,3,10.9207,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67390* -0.18580* -0.17075* 0.69439),0.3126438,0.7671204,(0.52130* -0.53239* 0.47867* -0.46442),0.05206299,0.1683826
Down,3,10.94832,(0.67084* 0.16809* 0.17492* -0.70080),(-0.67142* -0.18652* -0.17071* 0.69661),0.460143,1.12442,(0.52111* -0.53266* 0.47842* -0.46458),0.05410767,0.2183571
Down,3,10.97634,(0.67084* 0.16809* 0.17492* -0.70080),(-0.66546* -0.18860* -0.17012* 0.70189),0.8788332,1.962463,(0.52042* -0.53333* 0.47798* -0.46503),0.03665161,0.3489342
Down,3,11.00403,(0.67084* 0.16809* 0.17492* -0.70080),(-0.65973* -0.18987* -0.16887* 0.70724),1.284923,2.789978,(0.52028* -0.53347* 0.47795* -0.46507),0.02612305,0.3692703
Down,3,11.03131,(0.67084* 0.16809* 0.17492* -0.70080),(-0.65369* -0.19112* -0.16859* 0.71256),1.615691,3.660339,(0.51995* -0.53387* 0.47749* -0.46544),0.04107666,0.4588261
Down,3,11.05908,(0.67084* 0.16809* 0.17492* -0.70080),(-0.64675* -0.19209* -0.16697* 0.71899),2.071869,4.665253,(0.51986* -0.53388* 0.47749* -0.46553),0.04147339,0.4688435
Down,3,11.08692,(0.67084* 0.16809* 0.17492* -0.70080),(-0.63749* -0.19345* -0.16618* 0.72703),2.56457,5.993317,(0.51958* -0.53415* 0.47725* -0.46578),0.04391479,0.52878
Down,3,11.11451,(0.67084* 0.16809* 0.17492* -0.70080),(-0.62712* -0.19525* -0.16498* 0.73579),3.159454,7.450684,(0.51989* -0.53409* 0.47728* -0.46547),0.04229736,0.4887905
Down,3,11.14439,(0.67084* 0.16809* 0.17492* -0.70080),(-0.61726* -0.19799* -0.16229* 0.74394),3.929983,8.77533,(0.51851* -0.53470* 0.47796* -0.46562),-0.1131897,0.5835705
Down,3,11.16961,(0.67084* 0.16809* 0.17492* -0.70080),(-0.60642* -0.20015* -0.16045* 0.75263),4.619062,10.24884,(0.51887* -0.53460* 0.47794* -0.46536),-0.103363,0.5432682
Down,3,11.19801,(0.67084* 0.16809* 0.17492* -0.70080),(-0.59594* -0.19924* -0.15567* 0.76219),5.365921,11.73746,(0.51738* -0.53490* 0.47909* -0.46548),-0.2832947,0.5985889
Down,3,11.22548,(0.67084* 0.16809* 0.17492* -0.70080),(0.58543* 0.20038* 0.15439* -0.77025),5.93136,13.16425,(0.51658* -0.53518* 0.47922* -0.46591),-0.3258362,0.6798115
Down,3,11.25314,(0.67084* 0.16809* 0.17492* -0.70080),(0.57961* 0.19816* 0.15076* -0.77592),6.338396,14.01685,(0.51660* -0.53452* 0.47956* -0.46630),-0.2818298,0.6385269
Down,3,11.28162,(0.67084* 0.16809* 0.17492* -0.70080),(0.57280* 0.19892* 0.15088* -0.78075),6.620941,14.93329,(0.51350* -0.53717* 0.47990* -0.46634),-0.6460266,0.9784603
Down,3,11.30826,(0.67084* 0.16809* 0.17492* -0.70080),(0.56567* 0.20290* 0.14875* -0.78532),7.330555,15.75653,(0.51328* -0.53730* 0.47913* -0.46721),-0.5509338,1.085922
Down,3,11.33624,(0.67084* 0.16809* 0.17492* -0.70080),(-0.56227* -0.20533* -0.14544* 0.78774),7.922351,16.10287,(0.51441* -0.53848* 0.47719* -0.46660),-0.4567566,1.163414
Down,3,11.36382,(0.67084* 0.16809* 0.17492* -0.70080),(-0.55676* -0.21064* -0.14382* 0.79055),8.606348,16.65668,(0.51331* -0.54017* 0.47600* -0.46708),-0.5048523,1.424683
Down,3,11.39149,(0.67084* 0.16809* 0.17492* -0.70080),(-0.55306* -0.21486* -0.14055* 0.79260),9.317431,16.97852,(0.51375* -0.53991* 0.47589* -0.46700),-0.4604492,1.383511
Down,3,11.41952,(0.67084* 0.16809* 0.17492* -0.70080),(-0.55518* -0.21699* -0.13637* 0.79126),9.775322,16.56543,(0.51352* -0.54013* 0.47577* -0.46712),-0.4704895,1.423771
Down,3,11.44747,(0.67084* 0.16809* 0.17492* -0.70080),(-0.55371* -0.22126* -0.13320* 0.79165),10.39766,16.5799,(0.51313* -0.54018* 0.47600* -0.46725),-0.5041809,1.444664
